"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Восстановление пароля","2","0","Тест восстановления пароля","0"
"0","","0","Личный кабинет","2","0","Тест функционала личного кабинета","0"
"0","","0","Лента заказов","2","0","Проверка Ленты заказов","0"
"0","","0","Основной функционал","2","0","Проверка основного функционала","0"
